MILLISEC,subject,recording,label
458429,S1,S1-ADL1,Walk
461962,S1,S1-ADL1,Walk
462629,S1,S1-ADL1,Walk
464595,S1,S1-ADL1,Walk
464895,S1,S1-ADL1,Walk
464995,S1,S1-ADL1,Walk
465729,S1,S1-ADL1,Walk
471129,S1,S1-ADL1,Walk
471229,S1,S1-ADL1,Walk
472629,S1,S1-ADL1,Walk
473929,S1,S1-ADL1,Walk
475162,S1,S1-ADL1,Sit
478162,S1,S1-ADL1,Walk
479229,S1,S1-ADL1,Walk
479962,S1,S1-ADL1,Walk
480095,S1,S1-ADL1,Walk
481395,S1,S1-ADL1,Walk
482629,S1,S1-ADL1,Walk
482962,S1,S1-ADL1,Walk
485895,S1,S1-ADL1,Walk
489495,S1,S1-ADL1,Walk
490928,S1,S1-ADL1,Walk
496728,S1,S1-ADL1,Walk
496795,S1,S1-ADL1,Walk
496995,S1,S1-ADL1,Walk
497928,S1,S1-ADL1,Walk
502695,S1,S1-ADL1,Walk
505095,S1,S1-ADL1,Walk
505828,S1,S1-ADL1,Walk
506028,S1,S1-ADL1,Walk
506328,S1,S1-ADL1,Walk
511928,S1,S1-ADL1,Walk
513762,S1,S1-ADL1,Walk
518961,S1,S1-ADL1,Walk
519961,S1,S1-ADL1,Walk
520261,S1,S1-ADL1,Walk
529328,S1,S1-ADL1,Sit
529695,S1,S1-ADL1,Sit
530528,S1,S1-ADL1,Sit
534861,S1,S1-ADL1,Walk
539261,S1,S1-ADL1,Walk
539661,S1,S1-ADL1,Walk
539861,S1,S1-ADL1,Walk
540061,S1,S1-ADL1,Walk
540495,S1,S1-ADL1,Walk
540861,S1,S1-ADL1,Walk
541161,S1,S1-ADL1,Walk
544495,S1,S1-ADL1,Walk
544895,S1,S1-ADL1,Walk
546061,S1,S1-ADL1,Walk
546728,S1,S1-ADL1,Walk
550194,S1,S1-ADL1,Sit
553861,S1,S1-ADL1,Sit
554094,S1,S1-ADL1,Sit
556661,S1,S1-ADL1,Sit
560928,S1,S1-ADL1,Sit
561961,S1,S1-ADL1,Sit
562594,S1,S1-ADL1,Stand
564961,S1,S1-ADL1,Stand
565194,S1,S1-ADL1,Stand
565994,S1,S1-ADL1,Stand
568728,S1,S1-ADL1,Stand
570828,S1,S1-ADL1,Stand
570861,S1,S1-ADL1,Stand
575194,S1,S1-ADL1,Stand
576461,S1,S1-ADL1,Stand
578494,S1,S1-ADL1,Stand
580628,S1,S1-ADL1,Stand
583194,S1,S1-ADL1,Stand
586594,S1,S1-ADL1,Stand
588627,S1,S1-ADL1,Stand
590694,S1,S1-ADL1,Stand
599594,S1,S1-ADL1,Walk
604161,S1,S1-ADL1,Walk
604761,S1,S1-ADL1,Walk
608861,S1,S1-ADL1,Walk
609594,S1,S1-ADL1,Walk
609927,S1,S1-ADL1,Walk
615461,S1,S1-ADL1,Walk
617694,S1,S1-ADL1,Walk
622494,S1,S1-ADL1,Walk
627260,S1,S1-ADL1,Walk
631327,S1,S1-ADL1,Walk
631927,S1,S1-ADL1,Walk
635527,S1,S1-ADL1,Walk
636960,S1,S1-ADL1,Walk
639627,S1,S1-ADL1,Walk
639894,S1,S1-ADL1,Walk
640894,S1,S1-ADL1,Walk
642427,S1,S1-ADL1,Walk
643927,S1,S1-ADL1,Walk
646127,S1,S1-ADL1,Walk
646627,S1,S1-ADL1,Walk
648594,S1,S1-ADL1,Walk
649327,S1,S1-ADL1,Walk
649594,S1,S1-ADL1,Walk
650693,S1,S1-ADL1,Walk
650860,S1,S1-ADL1,Walk
651260,S1,S1-ADL1,Walk
652127,S1,S1-ADL1,Walk
654627,S1,S1-ADL1,Walk
658293,S1,S1-ADL1,Walk
659927,S1,S1-ADL1,Walk
661227,S1,S1-ADL1,Walk
662560,S1,S1-ADL1,Walk
663093,S1,S1-ADL1,Walk
667027,S1,S1-ADL1,Walk
667060,S1,S1-ADL1,Walk
667493,S1,S1-ADL1,Walk
668027,S1,S1-ADL1,Walk
668493,S1,S1-ADL1,Walk
672827,S1,S1-ADL1,Walk
674593,S1,S1-ADL1,Walk
674860,S1,S1-ADL1,Walk
676227,S1,S1-ADL1,Walk
677727,S1,S1-ADL1,Walk
679127,S1,S1-ADL1,Walk
679560,S1,S1-ADL1,Walk
683726,S1,S1-ADL1,Walk
686593,S1,S1-ADL1,Walk
687026,S1,S1-ADL1,Walk
688260,S1,S1-ADL1,Walk
690226,S1,S1-ADL1,Walk
692993,S1,S1-ADL1,Walk
695493,S1,S1-ADL1,Walk
696493,S1,S1-ADL1,Walk
702826,S1,S1-ADL1,Walk
705260,S1,S1-ADL1,Walk
712126,S1,S1-ADL1,Walk
714026,S1,S1-ADL1,Walk
717693,S1,S1-ADL1,Walk
719726,S1,S1-ADL1,Walk
722259,S1,S1-ADL1,Stand
725559,S1,S1-ADL1,Walk
726126,S1,S1-ADL1,Walk
727226,S1,S1-ADL1,Walk
729126,S1,S1-ADL1,Walk
733893,S1,S1-ADL1,Stand
736559,S1,S1-ADL1,Walk
738126,S1,S1-ADL1,Walk
738659,S1,S1-ADL1,Walk
740759,S1,S1-ADL1,Walk
745759,S1,S1-ADL1,Walk
746493,S1,S1-ADL1,Walk
747093,S1,S1-ADL1,Stand
748326,S1,S1-ADL1,Stand
750326,S1,S1-ADL1,Stand
751592,S1,S1-ADL1,Stand
751726,S1,S1-ADL1,Stand
755459,S1,S1-ADL1,Stand
757159,S1,S1-ADL1,Stand
759392,S1,S1-ADL1,Walk
762826,S1,S1-ADL1,Stand
763092,S1,S1-ADL1,Stand
767326,S1,S1-ADL1,Walk
772692,S1,S1-ADL1,Stand
774759,S1,S1-ADL1,Stand
775659,S1,S1-ADL1,Stand
787592,S1,S1-ADL1,Stand
790292,S1,S1-ADL1,Stand
793892,S1,S1-ADL1,Stand
794259,S1,S1-ADL1,Stand
795792,S1,S1-ADL1,Stand
803159,S1,S1-ADL1,Stand
803259,S1,S1-ADL1,Stand
805225,S1,S1-ADL1,Stand
806959,S1,S1-ADL1,Stand
811159,S1,S1-ADL1,Stand
813592,S1,S1-ADL1,Stand
813659,S1,S1-ADL1,Stand
814425,S1,S1-ADL1,Stand
819992,S1,S1-ADL1,Stand
820358,S1,S1-ADL1,Stand
823092,S1,S1-ADL1,Stand
830892,S1,S1-ADL1,Stand
833292,S1,S1-ADL1,Stand
837192,S1,S1-ADL1,Stand
842958,S1,S1-ADL1,Stand
849892,S1,S1-ADL1,Stand
851358,S1,S1-ADL1,Stand
852291,S1,S1-ADL1,Stand
858625,S1,S1-ADL1,Stand
859425,S1,S1-ADL1,Stand
860791,S1,S1-ADL1,Stand
864758,S1,S1-ADL1,Stand
867358,S1,S1-ADL1,Stand
867658,S1,S1-ADL1,Stand
867725,S1,S1-ADL1,Stand
871091,S1,S1-ADL1,Stand
878991,S1,S1-ADL1,Stand
879925,S1,S1-ADL1,Stand
880358,S1,S1-ADL1,Stand
883858,S1,S1-ADL1,Stand
884324,S1,S1-ADL1,Stand
889924,S1,S1-ADL1,Stand
890458,S1,S1-ADL1,Stand
891591,S1,S1-ADL1,Stand
900124,S1,S1-ADL1,Stand
905058,S1,S1-ADL1,Stand
905258,S1,S1-ADL1,Stand
905991,S1,S1-ADL1,Stand
906758,S1,S1-ADL1,Walk
909124,S1,S1-ADL1,Stand
909791,S1,S1-ADL1,Stand
910858,S1,S1-ADL1,Sit
911691,S1,S1-ADL1,Sit
915258,S1,S1-ADL1,Sit
918391,S1,S1-ADL1,Sit
920824,S1,S1-ADL1,Sit
923657,S1,S1-ADL1,Sit
924424,S1,S1-ADL1,Sit
926824,S1,S1-ADL1,Sit
930324,S1,S1-ADL1,Sit
930724,S1,S1-ADL1,Sit
931657,S1,S1-ADL1,Sit
933024,S1,S1-ADL1,Sit
935257,S1,S1-ADL1,Sit
936691,S1,S1-ADL1,Sit
938957,S1,S1-ADL1,Sit
940824,S1,S1-ADL1,Sit
942924,S1,S1-ADL1,Sit
945591,S1,S1-ADL1,Sit
948857,S1,S1-ADL1,Stand
949491,S1,S1-ADL1,Stand
949557,S1,S1-ADL1,Stand
949657,S1,S1-ADL1,Stand
949857,S1,S1-ADL1,Stand
950424,S1,S1-ADL1,Stand
951524,S1,S1-ADL1,Stand
954224,S1,S1-ADL1,Stand
955357,S1,S1-ADL1,Stand
958890,S1,S1-ADL1,Stand
959490,S1,S1-ADL1,Stand
960690,S1,S1-ADL1,Stand
963090,S1,S1-ADL1,Walk
965290,S1,S1-ADL1,Walk
969124,S1,S1-ADL1,Stand
973424,S1,S1-ADL1,Stand
975757,S1,S1-ADL1,Stand
985323,S1,S1-ADL1,Stand
988923,S1,S1-ADL1,Stand
992090,S1,S1-ADL1,Stand
992190,S1,S1-ADL1,Stand
993223,S1,S1-ADL1,Stand
996223,S1,S1-ADL1,Stand
996390,S1,S1-ADL1,Stand
997623,S1,S1-ADL1,Stand
998223,S1,S1-ADL1,Stand
1010623,S1,S1-ADL1,Walk
1010657,S1,S1-ADL1,Walk
1012357,S1,S1-ADL1,Walk
1013257,S1,S1-ADL1,Stand
1015790,S1,S1-ADL1,Stand
1015823,S1,S1-ADL1,Stand
1016057,S1,S1-ADL1,Stand
1016756,S1,S1-ADL1,Stand
1017590,S1,S1-ADL1,Stand
1019823,S1,S1-ADL1,Stand
1022123,S1,S1-ADL1,Stand
1025456,S1,S1-ADL1,Stand
1025590,S1,S1-ADL1,Stand
1026090,S1,S1-ADL1,Stand
1026223,S1,S1-ADL1,Stand
1026656,S1,S1-ADL1,Stand
1030323,S1,S1-ADL1,Stand
1031856,S1,S1-ADL1,Stand
1034556,S1,S1-ADL1,Stand
1035823,S1,S1-ADL1,Stand
1036556,S1,S1-ADL1,Stand
1037790,S1,S1-ADL1,Stand
1039223,S1,S1-ADL1,Stand
1039856,S1,S1-ADL1,Stand
1040290,S1,S1-ADL1,Stand
1043556,S1,S1-ADL1,Stand
1044290,S1,S1-ADL1,Stand
1047190,S1,S1-ADL1,Stand
1050056,S1,S1-ADL1,Stand
1050989,S1,S1-ADL1,Stand
1053823,S1,S1-ADL1,Stand
1056356,S1,S1-ADL1,Stand
1057256,S1,S1-ADL1,Walk
1058023,S1,S1-ADL1,Walk
1058289,S1,S1-ADL1,Walk
1059223,S1,S1-ADL1,Walk
1062756,S1,S1-ADL1,Stand
1068089,S1,S1-ADL1,Stand
1068889,S1,S1-ADL1,Stand
1069123,S1,S1-ADL1,Stand
1070356,S1,S1-ADL1,Stand
1074856,S1,S1-ADL1,Stand
1076556,S1,S1-ADL1,Stand
1077956,S1,S1-ADL1,Stand
1080823,S1,S1-ADL1,Walk
1087856,S1,S1-ADL1,Stand
1091122,S1,S1-ADL1,Stand
1091489,S1,S1-ADL1,Stand
1092889,S1,S1-ADL1,Walk
1093256,S1,S1-ADL1,Walk
1094822,S1,S1-ADL1,Stand
1095622,S1,S1-ADL1,Stand
1095922,S1,S1-ADL1,Stand
1106322,S1,S1-ADL1,Walk
1106889,S1,S1-ADL1,Walk
1109889,S1,S1-ADL1,Walk
1111622,S1,S1-ADL1,Walk
1112489,S1,S1-ADL1,Stand
1113889,S1,S1-ADL1,Walk
1114289,S1,S1-ADL1,Walk
1116789,S1,S1-ADL1,Walk
1118555,S1,S1-ADL1,Walk
1124155,S1,S1-ADL1,Stand
1124522,S1,S1-ADL1,Stand
1126622,S1,S1-ADL1,Stand
1130455,S1,S1-ADL1,Stand
1131189,S1,S1-ADL1,Stand
1132755,S1,S1-ADL1,Walk
1133522,S1,S1-ADL1,Walk
1134522,S1,S1-ADL1,Walk
1136589,S1,S1-ADL1,Walk
1139622,S1,S1-ADL1,Stand
1141289,S1,S1-ADL1,Stand
1142555,S1,S1-ADL1,Stand
1142922,S1,S1-ADL1,Stand
1145589,S1,S1-ADL1,Walk
1153788,S1,S1-ADL1,Stand
1154555,S1,S1-ADL1,Stand
1162155,S1,S1-ADL1,Stand
1162622,S1,S1-ADL1,Stand
1163055,S1,S1-ADL1,Stand
1163755,S1,S1-ADL1,Stand
1163988,S1,S1-ADL1,Stand
1164855,S1,S1-ADL1,Stand
1166555,S1,S1-ADL1,Stand
1167488,S1,S1-ADL1,Stand
1168888,S1,S1-ADL1,Stand
1170255,S1,S1-ADL1,Stand
1174555,S1,S1-ADL1,Walk
1177122,S1,S1-ADL1,Stand
1185188,S1,S1-ADL1,Sit
1190788,S1,S1-ADL1,Sit
1193455,S1,S1-ADL1,Sit
1196288,S1,S1-ADL1,Sit
1198355,S1,S1-ADL1,Sit
1206055,S1,S1-ADL1,Sit
1208488,S1,S1-ADL1,Sit
1211588,S1,S1-ADL1,Sit
1211721,S1,S1-ADL1,Sit
1212388,S1,S1-ADL1,Sit
1214255,S1,S1-ADL1,Sit
1220588,S1,S1-ADL1,Sit
1221421,S1,S1-ADL1,Sit
1221854,S1,S1-ADL1,Sit
1223088,S1,S1-ADL1,Sit
1224154,S1,S1-ADL1,Sit
1225221,S1,S1-ADL1,Sit
1225621,S1,S1-ADL1,Sit
1226588,S1,S1-ADL1,Sit
1228754,S1,S1-ADL1,Sit
1228854,S1,S1-ADL1,Sit
1229221,S1,S1-ADL1,Sit
1230321,S1,S1-ADL1,Sit
1230554,S1,S1-ADL1,Sit
1237954,S1,S1-ADL1,Sit
1243188,S1,S1-ADL1,Sit
1247054,S1,S1-ADL1,Sit
1249454,S1,S1-ADL1,Sit
1253421,S1,S1-ADL1,Sit
1255087,S1,S1-ADL1,Sit
1258521,S1,S1-ADL1,Sit
1264187,S1,S1-ADL1,Sit
1268621,S1,S1-ADL1,Sit
1269821,S1,S1-ADL1,Sit
1271654,S1,S1-ADL1,Sit
1273121,S1,S1-ADL1,Sit
1273387,S1,S1-ADL1,Sit
1279654,S1,S1-ADL1,Sit
1280321,S1,S1-ADL1,Sit
1282121,S1,S1-ADL1,Sit
1282454,S1,S1-ADL1,Sit
1283354,S1,S1-ADL1,Sit
1284120,S1,S1-ADL1,Sit
1293187,S1,S1-ADL1,Sit
1298054,S1,S1-ADL1,Sit
1302354,S1,S1-ADL1,Sit
1310954,S1,S1-ADL1,Sit
1311254,S1,S1-ADL1,Sit
1319353,S1,S1-ADL1,Sit
1319720,S1,S1-ADL1,Sit
1321720,S1,S1-ADL1,Sit
1325020,S1,S1-ADL1,Sit
1326187,S1,S1-ADL1,Sit
1327387,S1,S1-ADL1,Sit
1328520,S1,S1-ADL1,Sit
1329520,S1,S1-ADL1,Sit
1335820,S1,S1-ADL1,Sit
1338687,S1,S1-ADL1,Sit
1342020,S1,S1-ADL1,Sit
1344987,S1,S1-ADL1,Sit
1348187,S1,S1-ADL1,Sit
1350220,S1,S1-ADL1,Sit
1350253,S1,S1-ADL1,Sit
1350686,S1,S1-ADL1,Sit
1355120,S1,S1-ADL1,Sit
1355586,S1,S1-ADL1,Sit
1357286,S1,S1-ADL1,Sit
1360553,S1,S1-ADL1,Sit
1361753,S1,S1-ADL1,Sit
1365986,S1,S1-ADL1,Sit
1369953,S1,S1-ADL1,Sit
1373053,S1,S1-ADL1,Sit
1373686,S1,S1-ADL1,Sit
1376420,S1,S1-ADL1,Sit
1377086,S1,S1-ADL1,Sit
1382486,S1,S1-ADL1,Sit
1382753,S1,S1-ADL1,Sit
1384019,S1,S1-ADL1,Sit
1384619,S1,S1-ADL1,Sit
1386786,S1,S1-ADL1,Sit
1387853,S1,S1-ADL1,Sit
1394219,S1,S1-ADL1,Sit
1397419,S1,S1-ADL1,Walk
1399353,S1,S1-ADL1,Walk
1401353,S1,S1-ADL1,Walk
1405853,S1,S1-ADL1,Stand
1406653,S1,S1-ADL1,Stand
1411453,S1,S1-ADL1,Stand
1412419,S1,S1-ADL1,Stand
1415286,S1,S1-ADL1,Walk
1416053,S1,S1-ADL1,Walk
1416386,S1,S1-ADL1,Walk
1418319,S1,S1-ADL1,Walk
1418886,S1,S1-ADL1,Stand
1425252,S1,S1-ADL1,Walk
1426552,S1,S1-ADL1,Walk
1428486,S1,S1-ADL1,Stand
1428586,S1,S1-ADL1,Stand
1429852,S1,S1-ADL1,Stand
1431219,S1,S1-ADL1,Stand
1433186,S1,S1-ADL1,Stand
1434686,S1,S1-ADL1,Stand
1439719,S1,S1-ADL1,Stand
1440819,S1,S1-ADL1,Stand
1440852,S1,S1-ADL1,Stand
1441619,S1,S1-ADL1,Walk
1442119,S1,S1-ADL1,Walk
1448152,S1,S1-ADL1,Stand
1448219,S1,S1-ADL1,Stand
1450219,S1,S1-ADL1,Stand
1460152,S1,S1-ADL1,Stand
1461919,S1,S1-ADL1,Stand
1464019,S1,S1-ADL1,Walk
1466285,S1,S1-ADL1,Stand
1468319,S1,S1-ADL1,Stand
1474352,S1,S1-ADL1,Walk
1475685,S1,S1-ADL1,Walk
1477852,S1,S1-ADL1,Walk
1479419,S1,S1-ADL1,Walk
1480419,S1,S1-ADL1,Stand
1482085,S1,S1-ADL1,Stand
1486718,S1,S1-ADL1,Stand
1487852,S1,S1-ADL1,Stand
1488418,S1,S1-ADL1,Stand
1489585,S1,S1-ADL1,Walk
1492052,S1,S1-ADL1,Walk
1493285,S1,S1-ADL1,Walk
1499252,S1,S1-ADL1,Stand
1502218,S1,S1-ADL1,Stand
1502952,S1,S1-ADL1,Stand
1507952,S1,S1-ADL1,Walk
1511118,S1,S1-ADL1,Stand
1515918,S1,S1-ADL1,Walk
1517751,S1,S1-ADL1,Walk
1519218,S1,S1-ADL1,Walk
1520851,S1,S1-ADL1,Walk
1521385,S1,S1-ADL1,Walk
1524385,S1,S1-ADL1,Walk
1529385,S1,S1-ADL1,Walk
1532851,S1,S1-ADL1,Walk
1533585,S1,S1-ADL1,Walk
1534818,S1,S1-ADL1,Walk
1536051,S1,S1-ADL1,Walk
1536885,S1,S1-ADL1,Stand
1539385,S1,S1-ADL1,Stand
1547051,S1,S1-ADL1,Walk
1548885,S1,S1-ADL1,Walk
1550151,S1,S1-ADL1,Walk
1552518,S1,S1-ADL1,Walk
1554818,S1,S1-ADL1,Stand
1555218,S1,S1-ADL1,Stand
1558784,S1,S1-ADL1,Stand
1560618,S1,S1-ADL1,Walk
1562618,S1,S1-ADL1,Walk
1564684,S1,S1-ADL1,Walk
1570084,S1,S1-ADL1,Walk
1573084,S1,S1-ADL1,Walk
1580718,S1,S1-ADL1,Walk
1581618,S1,S1-ADL1,Walk
1581651,S1,S1-ADL1,Walk
1593517,S1,S1-ADL1,Walk
1595051,S1,S1-ADL1,Walk
1595217,S1,S1-ADL1,Walk
1597984,S1,S1-ADL1,Sit
1598551,S1,S1-ADL1,Sit
1599151,S1,S1-ADL1,Sit
1599284,S1,S1-ADL1,Sit
1603384,S1,S1-ADL1,Sit
1606684,S1,S1-ADL1,Sit
1607417,S1,S1-ADL1,Lie
1608851,S1,S1-ADL1,Lie
1608951,S1,S1-ADL1,Lie
1610384,S1,S1-ADL1,Lie
1613884,S1,S1-ADL1,Lie
1615684,S1,S1-ADL1,Lie
1616017,S1,S1-ADL1,Lie
1617250,S1,S1-ADL1,Lie
1617717,S1,S1-ADL1,Lie
1618017,S1,S1-ADL1,Lie
1627550,S1,S1-ADL1,Stand
1628484,S1,S1-ADL1,Stand
1629917,S1,S1-ADL1,Stand
1630617,S1,S1-ADL1,Stand
1631684,S1,S1-ADL1,Stand
1632084,S1,S1-ADL1,Stand
1634884,S1,S1-ADL1,Stand
1636050,S1,S1-ADL1,Stand
1637417,S1,S1-ADL1,Stand
1637884,S1,S1-ADL1,Stand
1637984,S1,S1-ADL1,Stand
1638917,S1,S1-ADL1,Stand
1641417,S1,S1-ADL1,Stand
1644117,S1,S1-ADL1,Stand
1644517,S1,S1-ADL1,Stand
1645017,S1,S1-ADL1,Stand
1649650,S1,S1-ADL1,Stand
1653383,S1,S1-ADL1,Stand
1654850,S1,S1-ADL1,Stand
1655550,S1,S1-ADL1,Stand
1664650,S1,S1-ADL1,Stand
1667783,S1,S1-ADL1,Stand
